avoid|hypothetical|hypothetical
avoiding|hypothetical|hypothetical
avoidance|hypothetical|hypothetical
if|hypothetical|hypothetical
unless|hypothetical|hypothetical
monitor for|hypothetical|hypothetical
monitors for|hypothetical|hypothetical
monitored for|hypothetical|hypothetical
monitoring for|hypothetical|hypothetical
prn|hypothetical|hypothetical
PRN|hypothetical|hypothetical
p.r.n.|hypothetical|hypothetical
P.R.N.|hypothetical|hypothetical
as needed for|hypothetical|hypothetical
as necessary for |hypothetical|hypothetical
call for|hypothetical|hypothetical
call with|hypothetical|hypothetical
return for|hypothetical|hypothetical
return with|hypothetical|hypothetical
return|hypothetical|hypothetical
watch for|hypothetical|hypothetical
report new|hypothetical|hypothetical
potential|hypothetical|hypothetical
potentially|hypothetical|hypothetical
instructions for|hypothetical|hypothetical
prevent|hypothetical|hypothetical
preventing|hypothetical|hypothetical
prevention|hypothetical|hypothetical
risk|hypothetical|hypothetical
risk stratification for|hypothetical|hypothetical
future|hypothetical|hypothetical
immunization against|hypothetical|hypothetical
should|hypothetical|hypothetical
should he experience|hypothetical|hypothetical
should she experience|hypothetical|hypothetical
should the patient experience|hypothetical|hypothetical
prophylaxis|hypothetical|hypothetical
prophylactic|hypothetical|hypothetical
