//FORMAT: generic drug|brand drug|side effect1, side effect2,...
//removed some paradoxical side effects
Amitriptyline|Elavil, Enovil|fast heart rate, pounding heart rate, uneven heart rate, chest pain, heavy feeling chest, pain spreading to the arm, pain spreading to the shoulder, nausea, sweating, general ill feeling, sudden numbness, sudden weakness, sudden headache, confusion, problems with vision, problems with speech, problems with balance, hallucinations, seizures, convulsions, feeling light-headed, fainting, restless muscle movements in your eyes, restless muscle movements in your tongue, restless muscle movements in your jaw, restless muscle movements in your neck, uncontrollable shaking, uncontrollable tremor, skin rash, severe tingling, numbness, muscle weakness, easy bruising, easy bleeding, extreme thirst with headache, extreme thirst with nausea, extreme thirst with vomiting, extreme thirst with weakness, urinating less than usual, not urinating at all, nausea, vomiting, constipation, diarrhea, loss of appetite, dry mouth, unpleasant taste, feeling dizzy, feeling drowsy, feeling tired, trouble concentrating, nightmares, blurred vision, headache, ringing in your ears, breast swelling, decreased sex drive, impotence, difficulty having an orgasm
Bupropion|Wellbutrin, Wellbutrin SR, Zyban|severe blistering, peeling, red skin rash, fever, swollen glands, rash, itching, joint pain, general ill feeling, confusion, trouble concentrating, hallucinations, unusual thoughts, unusual behavior, headache, migraine, sleep problems, nausea, vomiting, constipation, dry mouth, dizziness, tremors, shaking, appetite changes, weight loss, weight gain, mild itching, skin rash, increased sweating, loss of interest in sex
Buspirone|Buspar|feeling light-headed, fainting, fast heart rate, uneven heart rate, depressed mood, unusual thoughts, unusual behavior, lack of balance, lack of coordination, drowsiness, dizziness, blurred vision, feeling restless, nausea, upset stomach, sleep problems, insomnia, trouble concentrating
Citalopram|Celexa|very stiff rigid muscles, high fever, sweating, fast heartbeats, uneven heartbeats, tremors, overactive reflexes, nausea, vomiting, diarrhea, loss of appetite, feeling unsteady, loss of coordination, headache, trouble concentrating, memory problems, weakness, confusion, hallucinations, fainting, seizure, shallow breathing, breathing that stops, drowsiness, sleep problems, mild nausea, gas, upset stomach, weight changes, urinating more than usual, decreased sex drive, impotence, difficulty having an orgasm, dry mouth, watery mouth, yawning, cold symptoms such as stuffy nose, sneezing, sore throat
Clomipramine|Anafranil|Constipation, diarrhea, dizziness, drowsiness, dry mouth, headache, irritability, loss of appetite, nausea, nightmares, sweating, tiredness, upset stomach, vomiting, weakness, weight loss, weight gain, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, blurred vision, other vision changes, changes in sex drive, chest pain, confusion, decreased sexual ability, fainting, fast heartbeat, slow heartbeat, irregular heartbeat, fever, flushing, frequent urination, difficult urination, impulsive behavior, unusual changes in behavior, mental changes, mood changes, increased anxiety, mood swings, agitation, irritability, nervousness, restlessness, numbness of the skin, tingling of the skin, panic attacks, ringing in the ears, seizures, severe dizziness, severe drowsiness, sore throat, stomach pain, suicidal thinking, suicidal behavior, swelling of the testicles, tremor, trouble sleeping, trouble walking, trouble keeping your balance, twitching of the face, twitching of the tongue, uncontrolled movements of arms, stiffness of arms and legs, unusual bleeding, unusual bruising, worsening of depression, yellowing of the skin, yellowing of eyes
Desipramine|Norpramin|Blurred vision, change in sexual desire, change in sexual ability, constipation, diarrhea, dizziness, drowsiness, dry mouth, headache, loss of appetite, nausea, tiredness, trouble sleeping, weakness, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, chest pain, confusion, dark urine, delusions, difficulty speaking, difficulty swallowing, excessive sweating, fainting, fast heartbeat, irregular heartbeat, fever, chills, sore throat, hallucinations, new agitation, worsening agitation, anxiety, panic attacks, aggressiveness, impulsiveness, irritability, hostility, exaggerated feeling of well-being, restlessness, inability to sit still, numbness in an arm, numbness in a leg, tingling in an arm, tingling in a leg, one-sided weakness, seizures, severe dizziness, persistent dizziness, persistent headache, severe trouble sleeping, persistent trouble sleeping, slurred speech, stiff muscles, suicidal thoughts, suicidal actions, tremor, trouble urinating, uncontrolled muscle movements of face, uncontrolled muscle movements of tongue, uncontrolled muscle movements of arms, uncontrolled muscle movements of legs, unusual bleeding, unusual bruising, unusual mental changes, severe mental changes, unusual mood changes, severe mood changes, vision problems, yellowing of the skin, yellowing of eyes
Doxepin|Adapin, Aponol, Sinquan, Sinequan|Appetite loss, constipation, diarrhea, dizziness, drowsiness, dry mouth, excess sweating, headache, heartburn, increased appetite, indigestion, nausea, unpleasant taste, urinary retention, vomiting, weakness, weight gain, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, abnormal movements, aggressive behavior, bizarre behavior, agitation, anxiety, blurred vision, other vision changes, chest pain, difficulty speaking, difficulty swallowing, disorientation, eye pain, fainting, fast heartbeat, slow heartbeat, irregular heartbeat, hair loss, hallucinations, hostility, irritability, loss of balance, mood swings, nervousness, restlessness, panic attacks, ringing in the ears, seizures, shakiness, sore throat, fever, trouble sleeping, twitching of the face, twitching of the tongue, unusual bleeding, unusual bruising, yellowing of the skin, yellowing of the eyes
Duloxetine|Cymbalta, Yentreve|nausea, stomach pain, low fever, loss of appetite, dark urine, clay-colored stools, jaundice, yellowing of the skin, yellowing of the eyes, painful urination, difficult urination, easy bruising, easy bleeding, nosebleeds, black stools, bloody stools, tarry stools, very stiff rigid muscles, high fever, vomiting, diarrhea, sweating, fast heartbeats, uneven heartbeats, tremors, overactive reflexes, headache, trouble concentrating, memory problems, confusion, hallucinations, weakness, feeling unsteady, loss of coordination, fainting, seizure, shallow breathing, breathing that stops, dry mouth, blurred vision, drowsiness, dizziness, spinning sensation, mild nausea, constipation, gas, sleep problems, insomnia, joint pain, muscle pain, weight changes, decreased sex drive, impotence, difficulty having an orgasm
Escitalopram|Lexapro, Cipralex|very stiff rigid muscles, high fever, sweating, fast heartbeats, uneven heartbeats, tremors, overactive reflexes, nausea, vomiting, diarrhea, loss of appetite, feeling unsteady, loss of coordination, headache, trouble concentrating, memory problems, weakness, confusion, hallucinations, fainting, seizure, shallow breathing, breathing that stops, drowsiness, dizziness, sleep problems, insomnia, mild nausea, gas, heartburn, upset stomach, constipation, weight changes, decreased sex drive, impotence, difficulty having an orgasm, dry mouth, yawning, ringing in your ears
//Flibanserin|Not FDA approved in US| - N/A in drugs.com 
