#----------------------------------------------------------
# Strip diacritics mappint table
# Unicode | Mapped ASCII | Char    | Unicode Name
# U+XXXX  | ASCII char   | (notes) | (notes)
#----------------------------------------------------------
U+00D8|O|Ø|LATIN CAPITAL LETTER O WITH STROKE
U+00F8|o|ø|LATIN SMALL LETTER O WITH STROKE
U+0110|D|Đ|LATIN CAPITAL LETTER D WITH STROKE
U+0111|d|đ|LATIN SMALL LETTER D WITH STROKE
U+0126|H|Ħ|LATIN CAPITAL LETTER H WITH STROKE
U+0127|h|ħ|LATIN SMALL LETTER H WITH STROKE
U+0131|i|ı|LATIN SMALL LETTER DOTLESS I
U+013F|L|Ŀ|LATIN CAPITAL LETTER L WITH MIDDLE DOT
U+0140|l|ŀ|LATIN SMALL LETTER L WITH MIDDLE DOT
U+0141|L|Ł|LATIN CAPITAL LETTER L WITH STROKE
U+0142|l|ł|LATIN SMALL LETTER L WITH STROKE
U+0149|n|ŉ|LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
U+0166|T|Ŧ|LATIN CAPITAL LETTER T WITH STROKE
U+0167|t|ŧ|LATIN SMALL LETTER T WITH STROKE
U+0180|b|ƀ|LATIN SMALL LETTER B WITH STROKE
U+0181|B|Ɓ|LATIN CAPITAL LETTER B WITH HOOK
U+0182|B|Ƃ|LATIN CAPITAL LETTER B WITH TOPBAR
U+0183|b|ƃ|LATIN SMALL LETTER B WITH TOPBAR
U+0186|O|Ɔ|LATIN CAPITAL LETTER OPEN O
U+0187|C|Ƈ|LATIN CAPITAL LETTER C WITH HOOK
U+0188|c|ƈ|LATIN SMALL LETTER C WITH HOOK
U+0189|D|Ɖ|LATIN CAPITAL LETTER AFRICAN D
U+018A|D|Ɗ|LATIN CAPITAL LETTER D WITH HOOK
U+018B|D|Ƌ|LATIN CAPITAL LETTER D WITH TOPBAR
U+018C|d|ƌ|LATIN SMALL LETTER D WITH TOPBAR
U+0190|E|Ɛ|LATIN CAPITAL LETTER OPEN E
U+0191|F|Ƒ|LATIN CAPITAL LETTER F WITH HOOK
U+0192|f|ƒ|LATIN SMALL LETTER F WITH HOOK
U+0193|G|Ɠ|LATIN CAPITAL LETTER G WITH HOOK
U+0197|I|Ɨ|LATIN CAPITAL LETTER I WITH STROKE
U+0198|K|Ƙ|LATIN CAPITAL LETTER K WITH HOOK
U+0199|k|ƙ|LATIN SMALL LETTER K WITH HOOK
U+019A|l|ƚ|LATIN SMALL LETTER L WITH BAR
U+019C|M|Ɯ|LATIN CAPITAL LETTER TURNED M
U+019D|N|Ɲ|LATIN CAPITAL LETTER N WITH LEFT HOOK
U+019E|n|ƞ|LATIN SMALL LETTER N WITH LONG RIGHT LEG
U+019F|O|Ɵ|LATIN CAPITAL LETTER O WITH MIDDLE TILDE
U+01A4|P|Ƥ|LATIN CAPITAL LETTER P WITH HOOK
U+01A5|p|ƥ|LATIN SMALL LETTER P WITH HOOK
U+01AB|t|ƫ|LATIN SMALL LETTER T WITH PALATAL HOOK
U+01AC|T|Ƭ|LATIN CAPITAL LETTER T WITH HOOK
U+01AD|t|ƭ|LATIN SMALL LETTER T WITH HOOK
U+01AE|T|Ʈ|LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
U+01B2|V|Ʋ|LATIN CAPITAL LETTER V WITH HOOK
U+01B3|Y|Ƴ|LATIN CAPITAL LETTER Y WITH HOOK
U+01B4|y|ƴ|LATIN SMALL LETTER Y WITH HOOK
U+01B5|Z|Ƶ|LATIN CAPITAL LETTER Z WITH STROKE
U+01B6|z|ƶ|LATIN SMALL LETTER Z WITH STROKE
U+01DD|e|ǝ|LATIN SMALL LETTER TURNED E
U+01E4|G|Ǥ|LATIN CAPITAL LETTER G WITH STROKE
U+01E5|g|ǥ|LATIN SMALL LETTER G WITH STROKE
U+0220|N|Ƞ|LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
U+0221|d|ȡ|LATIN SMALL LETTER D WITH CURL
U+0224|Z|Ȥ|LATIN CAPITAL LETTER Z WITH HOOK
U+0225|z|ȥ|LATIN SMALL LETTER Z WITH HOOK
U+0234|l|ȴ|LATIN SMALL LETTER L WITH CURL
U+0235|n|ȵ|LATIN SMALL LETTER N WITH CURL
U+0236|t|ȶ|LATIN SMALL LETTER T WITH CURL
U+0237|j|ȷ|LATIN SMALL LETTER DOTLESS J
U+023A|A|Ⱥ|LATIN CAPITAL LETTER A WITH STROKE
U+023B|C|Ȼ|LATIN CAPITAL LETTER C WITH STROKE
U+023C|c|ȼ|LATIN SMALL LETTER C WITH STROKE
U+023D|L|Ƚ|LATIN CAPITAL LETTER L WITH BAR
U+023E|T|Ⱦ|LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
U+023F|s|ȿ|LATIN SMALL LETTER S WITH SWASH TAIL
U+0240|z|ɀ|LATIN SMALL LETTER Z WITH SWASH TAIL
U+0243|B|Ƀ|LATIN CAPITAL LETTER B WITH STROKE
U+0244|U|Ʉ|LATIN CAPITAL LETTER U BAR
U+0245|V|Ʌ|LATIN CAPITAL LETTER TURNED V
U+0246|E|Ɇ|LATIN CAPITAL LETTER E WITH STROKE
U+0247|e|ɇ|LATIN SMALL LETTER E WITH STROKE
U+0248|J|Ɉ|LATIN CAPITAL LETTER J WITH STROKE
U+0249|j|ɉ|LATIN SMALL LETTER J WITH STROKE
U+024A|Q|Ɋ|LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
U+024B|q|ɋ|LATIN SMALL LETTER Q WITH HOOK TAIL
U+024C|R|Ɍ|LATIN CAPITAL LETTER R WITH STROKE
U+024D|r|ɍ|LATIN SMALL LETTER R WITH STROKE
U+024E|Y|Ɏ|LATIN CAPITAL LETTER Y WITH STROKE
U+024F|y|ɏ|LATIN SMALL LETTER Y WITH STROKE
