 Feeder Key,Description,   
05668-RRIMS,"ANGIOGRAPHY...ARY, UNILAT",
05860-RRIMS,"ANGIOGRAPHY...ARY, BILATE",
07075-RRIMS, Tibia Fibula 2vw AP/Lat,
07075C-RRIMS,Tibia 2 vw AP/Lat cntr proximal,
07076-RRIMS, Lower Extremity (Hip to ankle),
07147-RRIMS,MRA LOWER EXTREMITY W OR W/O C,
07166-RRIMS,"MRA ABDOMEN W OR W/O CONTRAST,",
07234-RRIMS,"ANGIOGRAPHY, EXTREMITY, UNILAT",
07318-RRIMS,"ANGIOGRAPHY, EXTREMITY, UNILAT",
07319-RRIMS,"ANGIOGRAPHY, EXTREMITY, UNILAT",
07323-RRIMS, MRI Abd wo&w Lmtd,
07349-RRIMS,"CT ANGIOGRAPHY, ABDOMEN, INCLU",
07351-RRIMS,"CT ANGIOGRAPHY, PELVIS, INCLUD",
07410-RRIMS,"MRA PELVIS, W OR W/O CONTRAST",
07552-RRIMS,US Lower Extrem Art-Graft Cmpl,
07556-RRIMS, US Extremity Veins Complete
07557-RRIMS, US Extremity Veins Limited
07559-RRIMS, US Abd-Pel Vessels Limited
07577-RRIMS, US Carotid Arteries Complete
07578-RRIMS, US Intraoperative
07593-RRIMS,AORTO-ILIAC SONOGRAPHY
07603-RRIMS,POPLITEAL SONOGRAPHY
14551-RRIMS,"ATHERECTOMY, PERCUTANEOUS, FAC"
15063-RRIMS,"IR, ENDO REPAIR ILIAC ART"
15110-RRIMS,"CL, AORTOGRAM; ABDOMINAL"
15115-RRIMS,"CL, ABD AORTA-STENT GRAFT"
15119-RRIMS,"CL, ANGIOGRAM, EXTREMITY,"
15120-RRIMS,"CL, ANGIOGRAM, EXTREMITY,"
15121-RRIMS,"CL, PTA ILIAC ARTERIES"
15123-RRIMS,"CL, PTA TIBIOPERONEAL ART"
15124-RRIMS,"CL, ANGIOGRAM, EXTREMITY,"
70222-RRIMS,MR ANGIO ABDOMINAL AORTA
70223-RRIMS,MR ANGIO CELIAC ARTERY
70293-RRIMS,ULTRASOUND AORTA - ILIAC
70300-RRIMS,"ULTRASOUND, POPLITEAL - LT"
70301-RRIMS,"ULTRASOUND, POPLITEAL - RT"
70340-RRIMS,"IR, PTA ILIAC ARTERIES"
70471-RRIMS,"MRI, ANGIO LOWER EXTREM W/O &"
70472-RRIMS,"MRI, ANGIO LOWER EXTREMITY, W"
70597-RRIMS,"IR, PTA TIBIOPERONEAL ARTERY &"
70816-RRIMS,CT ANGIO PELVIS W/WO CST INCL
70938-RRIMS,CT ANGIO LOWER EXT W/WO CST +S
70955-RRIMS,CT ANGIO ABD W/WO CST ADD SECT
71039-RRIMS,AORTOGRAM ABD W SERIAL PROF
71041-RRIMS,AORTOGRAM ABD+BILAT ILIOFEM LO
71042-RRIMS,CT ANGIO ABD+BILAT LW EXT W/WO
71053-RRIMS,ANGIO EXTREMITY UNILAT PROF
71054-RRIMS,ANGIO EXTREMITY BILAT PROF
71060-RRIMS,ANGIO PELVIC-SUPRA SELECT PROF
71103-RRIMS,ENDOVASC RPR ILIAC ANEURSM PSE
71106-RRIMS,PTA PERIPHERAL ARTERY PROF
71107-RRIMS,PTA PERIPHERAL ARTERY ADDL PRO
71117-RRIMS,TRANSLUMINAL ATHERECTOMY PERIP
71118-RRIMS,TRANSLUMINAL ATHERECT ADDL PER
71158-RRIMS,CT ANGIO AORTA PREOP/EVAL
71171-RRIMS,U/S RETROPERITONEAL B SCAN PRO
71172-RRIMS,U/S RETROPERITONEAL B SCAN LTD
71275-RRIMS, CTA Chest w or wo 3D
71555-RRIMS, MRA/v Chest
71626-RRIMS,CT ANGIO PELVIS W/WO CST
71712-RRIMS,CT ANGIO LOWER EXT W/WO C
71736-RRIMS,CT ANGIO ABD W/WO CST
71794-RRIMS,ABD AORTAGRAM W/ RUNOFF
71795-RRIMS,CT ANGIO AORTA/RUNOFF
71806-RRIMS,ANGIO EXTREMITY UNILAT
71807-RRIMS,ANGIO EXTREMITY BILAT
71813-RRIMS,ANGIO PELVIC SELECT
71853-RRIMS,ENDOVASC RPR ILIAC ANEURYSM
71856-RRIMS,PTA PERIPHERAL ART
71857-RRIMS,PTA PERIPHERAL ARTERY EA ADDL
71866-RRIMS,ATHERECTOMY PERIPHERAL
