#----------------------------------------------------------
# Non-ASCII strip or mapping table
# Unicode | Mapped ASCII | Char    | Unicode Name
# U+XXXX  | ASCII string | (notes) | (notes)
#----------------------------------------------------------
U+00B5|u|µ|MICRO SIGN
U+00DF|beta|ß|LATIN SMALL LETTER SHARP S
U+0251|alpha|ɑ|LATIN SMALL LETTER ALPHA
U+0263|gamma|ɣ|LATIN SMALL LETTER GAMMA
U+0278|phi|ɸ|LATIN SMALL LETTER PHI
U+0283|esh|ʃ|LATIN SMALL LETTER ESH
U+028A|ezh|ʊ|LATIN SMALL LETTER UPSILON
U+0391|ALPHA|Α|GREEK CAPITAL LETTER ALPHA
U+0392|BETA|Β|GREEK CAPITAL LETTER BETA
U+0393|GAMMA|Γ|GREEK CAPITAL LETTER GAMMA
U+0394|DELTA|Δ|GREEK CAPITAL LETTER DELTA
U+0395|EPSILON|Ε|GREEK CAPITAL LETTER EPSILON
U+0396|ZETA|Ζ|GREEK CAPITAL LETTER ZETA
U+0397|ETA|Η|GREEK CAPITAL LETTER ETA
U+0398|THETA|Θ|GREEK CAPITAL LETTER THETA
U+0399|IOTA|Ι|GREEK CAPITAL LETTER IOTA
U+039A|KAPPA|Κ|GREEK CAPITAL LETTER KAPPA
U+039B|LAMDA|Λ|GREEK CAPITAL LETTER LAMDA
U+039C|MU|Μ|GREEK CAPITAL LETTER MU
U+039D|NU|Ν|GREEK CAPITAL LETTER NU
U+039E|XI|Ξ|GREEK CAPITAL LETTER XI
U+039F|OMICRON|Ο|GREEK CAPITAL LETTER OMICRON
U+03A0|PI|Π|GREEK CAPITAL LETTER PI
U+03A1|RHO|Ρ|GREEK CAPITAL LETTER RHO
U+03A3|SIGMA|Σ|GREEK CAPITAL LETTER SIGMA
U+03A4|TAU|Τ|GREEK CAPITAL LETTER TAU
U+03A5|UPSILON|Υ|GREEK CAPITAL LETTER UPSILON
U+03A6|PHI|Φ|GREEK CAPITAL LETTER PHI
U+03A7|CHI|Χ|GREEK CAPITAL LETTER CHI
U+03A8|PSI|Ψ|GREEK CAPITAL LETTER PSI
U+03A9|OMEGA|Ω|GREEK CAPITAL LETTER OMEGA
U+03B1|alpha|α|GREEK SMALL LETTER ALPHA
U+03B2|beta|β|GREEK SMALL LETTER BETA
U+03B3|gamma|γ|GREEK SMALL LETTER GAMMA
U+03B4|delta|δ|GREEK SMALL LETTER DELTA
U+03B5|epsilon|ε|GREEK SMALL LETTER EPSILON
U+03B6|zeta|ζ|GREEK SMALL LETTER ZETA
U+03B7|eta|η|GREEK SMALL LETTER ETA
U+03B8|theta|θ|GREEK SMALL LETTER THETA
U+03B9|iota|ι|GREEK SMALL LETTER IOTA
U+03BA|kappa|κ|GREEK SMALL LETTER KAPPA
U+03BB|lamda|λ|GREEK SMALL LETTER LAMDA
U+03BC|mu|μ|GREEK SMALL LETTER MU
U+03BD|nu|ν|GREEK SMALL LETTER NU
U+03BE|xi|ξ|GREEK SMALL LETTER XI
U+03BF|omicron|ο|GREEK SMALL LETTER OMICRON
U+03C0|pi|π|GREEK SMALL LETTER PI
U+03C1|rho|ρ|GREEK SMALL LETTER RHO
U+03C2|sigma|ς|GREEK SMALL LETTER FINAL SIGMA
U+03C3|sigma|σ|GREEK SMALL LETTER SIGMA
U+03C4|tau|τ|GREEK SMALL LETTER TAU
U+03C5|upsilon|υ|GREEK SMALL LETTER UPSILON
U+03C6|phi|φ|GREEK SMALL LETTER PHI
U+03C7|chi|χ|GREEK SMALL LETTER CHI
U+03C8|psi|ψ|GREEK SMALL LETTER PSI
U+03C9|omega|ω|GREEK SMALL LETTER OMEGA
U+237A|alpha|⍺|APL FUNCTIONAL SYMBOL ALPHA
