sulfonamide|sulfonamide|1
sulfonamides|sulfonamides|1
nsaids|nsaids|1
anti-inflam|anti-inflam agent|1
anti-inflam|anti-inflam agents|1
anti-inflammatory|anti-inflammatory agent|1
anti-inflammatory|anti-inflammatory agents|1
ace|ace inhibitor|1
ace|ace inhibitors|1
thiomersal|thiomersal|1
divalproex|divalproex|1
acamprosate|acamprosate|1
quetiapine|quetiapine|1

anti|anti inflam agent|1
anti|anti inflam agents|1
anti|anti inflammatory agent|1
anti|anti inflammatory agents|1

benztropine|benztropine meylate|1
hydrochloride|hydrochloride|1
propranolol|propranolol hydrocloride|1
duloxetine|duloxetine hydrochoride|1
effexor-xr|effexor-xr|1
zyban|zyban|1
ritalin|ritalin sr|1
doxican|doxican|1
diclofenac|diclofenac sodium and misoprostol|1
acetaminophen|acetaminophen and caffeine|1
Acetaminophen|Acetaminophen and Hydrocodone|1
fluoxetine|fluoxetine and olanzapine|1
amphetamine|amphetamine and dextroamphetamine|1
diclofenac|diclofenac and misoprostol|1
enovil|enovil|1
sinquan|sinquan|1
milnacipran|milnacipran|1
aponol|aponol|1
janimine|janimine|1
revive|revive|1
cipralex|cipralex|1
savella|savella|1
enerjets|enerjets|1
ixel|ixel|1
diastat|diastat pediatric|1
yentreve|yentreve|1

side|side effect|3
side|side effects|3
side-effect|side-effect|3
side-effects|side-effects|3
sexual|sexual side-effects|3
sexual|sexual side effects|3
sexual|sexual side-effect|3
sexual|sexual side effect|3
reaction|reaction|3
weight|weight loss|3
weight-loss|weight-loss|3
weight|weight gain|3
weight-gain|weight-gain|3
jittery|jittery|3
sick|sick|3

sweating|sweating increased|3
ringing|ringing|3
ringing|ringing in ears|3
arthralia|arthralia|3
gas|gas|3
libido|libido decreased|3
thirst|thirst|3
overexcitement|overexcitement|3
swollen|swollen tongue|3
trouble|trouble speaking|3
watery|watery mouth|3
inability|inability|3
light-headed|light-headed|3
vision|vision changes|3
difficulty|difficulty swallowing|3
tightness|tightness|3
heartbeat|heartbeat|3
heart|heart rate|3
weakness|weakness|3
sexual|sexual ability|3
mental|mental changes|3
memory|memory loss|3
black-out|black-out|3
jitteriness|jitteriness|3
hurting|hurting|3
sleep|sleep disturbances|3
peeling|peeling|3
breath|breath odor|3
mental|mental slowness|3
crying|crying|3
shakiness|shakiness|3
problems|problems with urination|3
vision|vision loss|3
nipple|nipple discharge|3
menstrual|menstrual changes|3
choking|choking|3
unsteadiness|unsteadiness|3
weight|weight changes|3
nervous|nervous|3
sore|sore throat|3
aggressiveness|aggressiveness|3
unsteady|unsteady|3
bumps|bumps|3
wheezing|wheezing|3
sluggish|sluggish|3
sedation|sedation|3
sedate|sedate|3
anergic|anergic|3
anxious|anxious|3
panicky|panicky|3
eye|eye pressure|3
mood|mood deterioration|3
diminishment|diminishment|3
groggy|groggy|3
suicidal|suicidal thinking|3
shortness-of-breath|shortness-of-breath|3
hypomanic|hypomanic|3
numb|numb|3
serotonin|serotonin syndrome|3
cardiac|cardiac|3
drugged|drugged|3
intoxicated|intoxicated|3
